"Step","stoic-sweep-10 - epoch","stoic-sweep-10 - epoch__MIN","stoic-sweep-10 - epoch__MAX","wobbly-sweep-9 - epoch","wobbly-sweep-9 - epoch__MIN","wobbly-sweep-9 - epoch__MAX","different-sweep-8 - epoch","different-sweep-8 - epoch__MIN","different-sweep-8 - epoch__MAX","fresh-sweep-7 - epoch","fresh-sweep-7 - epoch__MIN","fresh-sweep-7 - epoch__MAX","vague-sweep-6 - epoch","vague-sweep-6 - epoch__MIN","vague-sweep-6 - epoch__MAX","autumn-sweep-5 - epoch","autumn-sweep-5 - epoch__MIN","autumn-sweep-5 - epoch__MAX","peachy-sweep-4 - epoch","peachy-sweep-4 - epoch__MIN","peachy-sweep-4 - epoch__MAX","resilient-sweep-3 - epoch","resilient-sweep-3 - epoch__MIN","resilient-sweep-3 - epoch__MAX","crimson-sweep-2 - epoch","crimson-sweep-2 - epoch__MIN","crimson-sweep-2 - epoch__MAX","legendary-sweep-1 - epoch","legendary-sweep-1 - epoch__MIN","legendary-sweep-1 - epoch__MAX"
"44","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2"
"45","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2"
"46","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2"
"47","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2"
"48","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2"
"49","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","",""
"50","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2"
"51","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2"
"52","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3"
"53","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3"
"54","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3"
"55","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3"
"56","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3"
"57","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3"
"58","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3"
"59","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3"
"60","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3"
"61","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3"
"62","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3"
"63","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3"
"64","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3"
"65","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3"
"66","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"67","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3"
"68","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3"
"69","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","4","4","4"
"70","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"71","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"72","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"73","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"74","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"75","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"76","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"77","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"78","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"79","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"80","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"81","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"82","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"83","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"84","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"85","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"86","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"87","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"88","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"89","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"90","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"92","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"93","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","",""
"94","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"95","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"96","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"97","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"98","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"99","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"100","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"101","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"102","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"103","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"104","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"105","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"106","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"107","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"108","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"109","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"110","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"111","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"112","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"113","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"114","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"115","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"116","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"117","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"118","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"119","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"120","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"121","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"123","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"124","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"125","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","",""
"126","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"127","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"128","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"129","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"130","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"131","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"132","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"133","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"134","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"135","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"136","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"137","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"138","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"139","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"140","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"141","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"142","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"143","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"144","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"145","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"146","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"147","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"148","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"149","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"150","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"151","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"152","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"154","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"155","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","4","4","4","","",""
"156","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","","","","5","5","5","","",""
